takuma ueda,wong wing ki vincent,21,12,3/25/15
tommy sugiarto,wei nan,21,12,3/26/15
tommy sugiarto,wei nan,21,13,3/26/15
kieran merrilees,eetu heino,21,12,3/28/15
kieran merrilees,eetu heino,21,5,3/28/15
parupalli kashyap,lee dong keun,21,15,4/1/15
lee dong keun,parupalli kashyap,21,11,4/1/15
parupalli kashyap,lee dong keun,21,14,4/1/15
chen long,takuma ueda,22,20,4/1/15
chen long,takuma ueda,21,16,4/1/15
kento momota,hu yun,21,6,4/2/15
kento momota,hu yun,21,9,4/2/15
chen long,parupalli kashyap,21,10,4/2/15
chen long,parupalli kashyap,21,6,4/2/15
kai schaefer,subhankar dey,21,19,4/2/15
subhankar dey,kai schaefer,21,16,4/2/15
subhankar dey,kai schaefer,21,10,4/2/15
lim chi wing,koki watanabe,21,18,4/2/15
koki watanabe,lim chi wing,21,18,4/2/15
lim chi wing,koki watanabe,21,18,4/2/15
kazumasa sakai,firman abdul kholik,21,10,4/3/15
kazumasa sakai,firman abdul kholik,21,6,4/3/15
chen long,kento momota,21,16,4/3/15
chen long,kento momota,21,11,4/3/15
subhankar dey,eetu heino,21,18,4/3/15
eetu heino,subhankar dey,21,12,4/3/15
eetu heino,subhankar dey,21,13,4/3/15
kazumasa sakai,kenta nishimoto,23,21,4/4/15
kenta nishimoto,kazumasa sakai,21,18,4/4/15
kazumasa sakai,kenta nishimoto,21,15,4/4/15
kazumasa sakai,jeon hyeok jin,21,15,4/5/15
jeon hyeok jin,kazumasa sakai,21,17,4/5/15
jeon hyeok jin,kazumasa sakai,21,14,4/5/15
vladimir malkov,eetu heino,21,18,4/5/15
vladimir malkov,eetu heino,21,15,4/5/15
suppanyu avihingsanon,zulfadli zulkiffli,21,19,4/7/15
zulfadli zulkiffli,suppanyu avihingsanon,23,21,4/7/15
zulfadli zulkiffli,suppanyu avihingsanon,21,16,4/7/15
ajay jayaram,daren liew,21,13,4/7/15
daren liew,ajay jayaram,21,14,4/7/15
ajay jayaram,daren liew,21,17,4/7/15
viktor axelsen,rajiv ouseph,21,17,4/8/15
viktor axelsen,rajiv ouseph,21,15,4/8/15
kento momota,wei nan,21,13,4/8/15
kento momota,wei nan,21,12,4/8/15
parupalli kashyap,lee hyun il,21,11,4/8/15
parupalli kashyap,lee hyun il,21,13,4/8/15
kento momota,chou tien chen,21,17,4/9/15
kento momota,chou tien chen,21,15,4/9/15
parupalli kashyap,son wan ho,21,15,4/9/15
parupalli kashyap,son wan ho,22,20,4/9/15
parupalli kashyap,brice leverdez,21,6,4/10/15
parupalli kashyap,brice leverdez,21,17,4/10/15
parupalli kashyap,hu yun,22,20,4/11/15
hu yun,parupalli kashyap,21,11,4/11/15
hu yun,parupalli kashyap,21,14,4/11/15
kento momota,hu yun,21,17,4/12/15
hu yun,kento momota,21,16,4/12/15
kento momota,hu yun,21,15,4/12/15
hsueh hsuan yi,huang yuxiang,21,16,4/15/15
huang yuxiang,hsueh hsuan yi,21,16,4/15/15
huang yuxiang,hsueh hsuan yi,21,17,4/15/15
kantaphon wangcharoen,wei nan,21,17,4/15/15
wei nan,kantaphon wangcharoen,21,14,4/15/15
wei nan,kantaphon wangcharoen,21,12,4/15/15
toby penty,anders antonsen,21,16,4/17/15
anders antonsen,toby penty,21,18,4/17/15
anders antonsen,toby penty,21,16,4/17/15
huang yuxiang,tian houwei,21,15,4/18/15
huang yuxiang,tian houwei,21,11,4/18/15
thomas rouxel,lucas corvee,21,12,4/26/15
thomas rouxel,lucas corvee,21,13,4/26/15
qiao bin,zulfadli zulkiffli,21,7,4/30/15
zulfadli zulkiffli,qiao bin,26,24,4/30/15
qiao bin,zulfadli zulkiffli,21,14,4/30/15
ng ka long angus,shesar hiren rhustavito,21,15,4/30/15
ng ka long angus,shesar hiren rhustavito,21,18,4/30/15
huang yuxiang,lee hyun il,21,16,5/1/15
lee hyun il,huang yuxiang,21,18,5/1/15
lee hyun il,huang yuxiang,21,15,5/1/15
lee hyun il,hsu jen hao,21,13,5/2/15
lee hyun il,hsu jen hao,21,6,5/2/15
toby penty,kai schaefer,21,17,5/2/15
kai schaefer,toby penty,21,18,5/2/15
toby penty,kai schaefer,21,13,5/2/15
toby penty,kim bruun,21,15,5/2/15
kim bruun,toby penty,24,22,5/2/15
toby penty,kim bruun,21,14,5/2/15
fabian roth,gergely krausz,21,12,5/2/15
fabian roth,gergely krausz,21,16,5/2/15
lee hyun il,qiao bin,21,12,5/3/15
lee hyun il,qiao bin,21,14,5/3/15
fabian roth,toby penty,21,19,5/3/15
toby penty,fabian roth,21,19,5/3/15
fabian roth,toby penty,21,19,5/3/15
eetu heino,maxime moreels,21,14,5/8/15
eetu heino,maxime moreels,21,13,5/8/15
kalle koljonen,eetu heino,21,14,5/9/15
kalle koljonen,eetu heino,21,7,5/9/15
viktor axelsen,rajiv ouseph,21,12,5/10/15
viktor axelsen,rajiv ouseph,21,18,5/10/15
kento momota,vladimir malkov,21,15,5/10/15
kento momota,vladimir malkov,21,9,5/10/15
kento momota,chou tien chen,21,14,5/12/15
chou tien chen,kento momota,21,8,5/12/15
kento momota,chou tien chen,21,12,5/12/15
wei nan,brice leverdez,21,17,5/12/15
wei nan,brice leverdez,21,15,5/12/15
kento momota,viktor axelsen,21,15,5/15/15
viktor axelsen,kento momota,21,17,5/15/15
kento momota,viktor axelsen,21,9,5/15/15
son wan ho,takuma ueda,21,9,5/16/15
son wan ho,takuma ueda,22,20,5/16/15
lin dan,takuma ueda,21,15,5/17/15
lin dan,takuma ueda,21,13,5/17/15
