,Loser1,Loser2,Winner1,Winner2
41,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12901109,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/011982698,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0123
42,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12835305,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900987,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900984
43,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Justinian2.0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Madisonli,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898205,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12870250
44,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/012084397,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/042599
45,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jericosuguitan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/katepaclibar,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/MNguyen404,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Sapphiredoan
46,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/696969696969696969,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8000000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/662,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814
47,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033386,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dorketwee
48,/player/Luke Trinh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dont have one,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12292000
49,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898592,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/132259,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/sheepie
50,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12879614,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/cokoo,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/042599
51,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/leeladhithya,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5106926214,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jericosuguitan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/katepaclibar
52,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/CoC,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2017202199,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12292000
53,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5184344,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/662,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814
54,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034552,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8000000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/vinhtvu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12052009
55,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32462134,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/07151999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/675456476465465,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12907068
56,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12345,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12901109,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2424,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019734
57,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/004121482,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12835305,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12873121,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/fuxiaofeng
58,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/MNguyen404,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Sapphiredoan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2424,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019734
59,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895607,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/012084397,/player/Luke Trinh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dont have one
60,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/42069,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0123,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910254
61,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895712,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/123456,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895248,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VanessaDINH
62,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/31970HZ,/player/Kelley Yuan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033386
63,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32462134,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/07151999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/662,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814
64,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dorketwee,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/31970HZ,/player/Kelley Yuan
65,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/675456476465465,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12907068,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/011982698,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0123
66,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12898205,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12870250,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900987,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900984
67,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/6452,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12292000,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/sheepie
68,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2424,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019734,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/042599
69,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jericosuguitan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/katepaclibar,/player/Luke Trinh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dont have one
70,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895700,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895701,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910075
71,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/31970HZ,/player/Kelley Yuan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/662,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2814
72,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/675456476465465,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12907068,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/vinhtvu,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12052009
73,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/32462134,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/07151999,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2034552,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/8000000
74,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2424,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019734,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12873121,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/fuxiaofeng
75,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910254,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12292000
76,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900987,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12900984,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/011982698,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/0123
77,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/00002,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/sheepie,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/lucbui10,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/042599
78,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Peterrxb,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/12292000,/player/Luke Trinh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/dont have one
79,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/3531045,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910254,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/jericosuguitan,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/katepaclibar
80,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/716234,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/121103,/player/Travis Huynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/58239
81,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/41019556,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910075,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12857546,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895498
82,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Justinian2.0,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Madisonli,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895248,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VanessaDINH
83,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12896841,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/winnie tran,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Trumantang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Sapphiredoan
84,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12857546,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895498,/player/Travis Huynh,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/58239
85,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895248,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/VanessaDINH,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Trumantang,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Sapphiredoan
